defendant_zip,total_filed,total_default,total_judgment,total_plaintiff_won,total_immediate,median_principal,n_d_attorney,cases_plaintiff_business
20100,1,0,0,0,0,0,0,1
20103,1,0,0,0,0,0,1,0
20104,1,1,1,1,1,2256.65,0,0
20105,82,26,40,38,24,9900,2,15
20106,28,5,17,16,5,3251.5,1,7
20108,1,0,0,0,0,0,0,1
20109,3448,1058,1522,1524,815,2820,7,3130
20110,1856,505,776,776,369,2908.56,5,1443
20111,1325,401,578,580,280,2976.585,12,1058
20112,124,33,54,54,17,2850,1,58
20115,126,39,64,62,38,2175.4800000000005,2,92
20116,1,0,1,1,1,10500,0,1
20117,25,12,14,13,9,2769.4900000000002,2,16
20118,2,1,2,2,1,25979.7,0,2
20119,37,12,26,27,13,2950,1,10
20120,732,193,250,252,187,3780,18,583
20121,554,198,268,266,150,3732.33,13,426
20124,37,9,19,17,8,2250,4,11
20129,4,0,1,1,0,0,0,1
20130,5,1,2,2,2,0,0,2
20132,132,48,75,74,44,3004.76,7,102
20134,3,0,1,2,1,12228.75,1,3
20135,18,5,12,12,4,2800,0,11
20136,104,40,63,61,17,4661.6900000000005,2,34
20137,11,2,4,4,1,5000,0,1
20138,4,2,3,3,2,2750,0,1
20141,16,6,12,12,5,9093.560000000001,1,4
20143,4,1,1,1,1,6300,0,1
20144,14,3,5,4,3,5900,0,6
20146,2,0,0,0,0,0,0,1
20147,2102,624,857,856,585,3642.54,21,1938
20148,640,214,292,289,197,3746.36,13,549
20149,1,0,1,1,0,3136.4300000000003,1,1
20150,1,0,0,0,0,0,0,0
20151,274,45,82,79,41,3969.755,17,220
20152,182,55,81,79,46,3952.8,5,122
20155,474,140,202,202,107,2383.1,6,386
20156,1,1,1,1,0,11200,0,0
20158,13,4,9,9,3,2500,1,7
20161,1,1,1,1,0,4800,0,0
20164,488,146,235,235,130,4980.5,19,287
20165,531,155,219,220,150,3490.3500000000004,7,456
20166,813,221,311,311,201,2990,11,755
20169,75,19,35,34,13,3875,0,36
20170,980,287,413,414,308,3555.79,21,839
20171,1786,534,648,656,547,4029.4350000000004,19,1679
20172,2,1,1,1,0,0,0,1
20175,386,110,170,169,117,3839.3100000000004,14,313
20176,1791,611,813,809,564,2758.9100000000003,31,1657
20178,2,1,1,1,1,5326.78,0,2
20179,1,0,1,1,0,4358,0,1
20180,34,7,17,14,7,4832.205,7,13
20181,54,16,29,29,9,3900,2,21
20184,6,2,4,4,3,19350,1,1
20186,311,84,167,162,97,2270,3,204
20187,67,21,43,42,22,4000,5,20
20190,848,277,346,349,277,4692.09,21,781
20191,753,222,295,301,212,3134.9700000000003,24,614
20192,3,0,0,0,0,0,0,0
20194,173,42,55,56,35,4310.41,6,152
20195,2,1,1,1,0,7376,0,1
20197,13,6,9,9,6,2280,0,0
20198,28,5,13,13,4,4200,1,16
22002,1,0,0,0,0,0,0,1
22003,2155,686,888,883,673,2924.825,49,1963
22011,2,0,1,1,0,7175,0,0
22012,39,14,14,16,17,3468,0,38
22015,145,40,64,63,31,3302,10,59
22017,1,0,1,1,0,5568,0,0
22020,2,1,2,2,0,4450,0,0
22023,1,0,0,0,0,0,0,1
22025,297,105,140,141,80,3796.955,5,225
22026,1541,544,749,747,384,2500,10,1289
22027,4,1,2,2,1,15000,0,1
22030,1598,458,605,611,458,4003.32,37,1433
22031,1419,466,545,552,451,4554.255,23,1335
22032,90,21,39,38,13,5250,8,43
22033,1414,423,528,539,413,3678,26,1248
22034,2,2,2,2,1,5768.29,0,1
22035,3,0,0,0,0,0,1,2
22036,5,2,3,3,2,4050,0,3
22037,2,0,0,0,0,0,0,0
22039,36,13,19,17,9,6271.605,1,17
22041,1359,458,584,588,469,3535.2,28,1231
22042,1141,305,403,418,327,3245,23,1022
22043,396,97,143,143,89,4063.3300000000004,19,326
22044,782,212,311,312,153,3118,14,719
22046,203,58,90,89,38,4285,4,164
22047,3,2,2,2,2,2987.23,0,2
22053,2,0,2,2,2,21959.4,0,2
22055,2,0,0,0,0,0,0,1
22060,70,27,31,31,27,5725.29,4,66
22065,1,0,0,0,0,0,0,1
22066,61,13,23,22,13,4700,17,17
22071,1,1,1,1,1,81467.95999999999,0,1
22079,1309,426,598,592,455,3089.83,39,1087
22091,2,2,2,2,1,0,0,1
22092,1,0,0,0,0,0,0,0
22093,1,0,1,1,0,4678.5,0,1
22101,60,14,27,27,13,7375,9,27
22102,1382,491,559,582,513,5879.84,35,1211
22105,2,1,1,1,0,2800,0,1
22110,2,2,2,2,2,17000,0,0
22112,1,0,0,0,0,0,0,1
22120,1,1,1,1,1,0,0,0
22121,1,0,1,1,0,2143.7,0,1
22124,42,11,15,15,8,2225,5,9
22125,6,2,5,6,2,5130,1,4
22134,65,20,34,33,15,1969.6100000000001,1,39
22135,1,0,0,0,0,0,0,0
22137,1,0,0,0,0,0,0,0
22139,1,0,0,0,0,0,0,0
22150,821,265,353,361,274,3864.39,19,681
22151,375,103,146,148,54,2746.16,6,319
22152,269,80,109,107,71,3602.71,10,173
22153,150,46,73,73,39,5983.110000000001,11,81
22158,1,1,1,1,1,3478,0,0
