fips,locality,legal_aid_service_area
119,Middlesex County,Legal Aid Society of Eastern Virginia
131,Northampton County,Legal Aid Society of Eastern Virginia
117,Mecklenburg County,Virginia Legal Aid Society
133,Northumberland County,Legal Aid Works
051,Dickenson County,Southwest Virginia Legal Aid Society
107,Loudoun County,Legal Services of Northern Virginia
181,Surry County,Central Virginia Legal Aid Society
101,King William County,Legal Aid Works
085,Hanover County,Central Virginia Legal Aid Society
003,Albemarle County,Central Virginia Legal Aid Society
019,Bedford County,Legal Aid Society of Roanoke Valley
067,Franklin County,Legal Aid Society of Roanoke Valley
015,Augusta County,Blue Ridge Legal Services
113,Madison County,Legal Aid Works
053,Dinwiddie County,Central Virginia Legal Aid Society
121,Montgomery County,Southwest Virginia Legal Aid Society
081,Greensville County,Virginia Legal Aid Society
141,Patrick County,Virginia Legal Aid Society
001,Accomack County,Legal Aid Society of Eastern Virginia
095,James City County,Legal Aid Society of Eastern Virginia
093,Isle Of Wight County,Virginia Legal Aid Society
153,Prince William County,Legal Services of Northern Virginia
057,Essex County,Legal Aid Works
105,Lee County,Southwest Virginia Legal Aid Society
195,Wise County,Southwest Virginia Legal Aid Society
191,Washington County,Southwest Virginia Legal Aid Society
083,Halifax County,Virginia Legal Aid Society
059,Fairfax County,Legal Services of Northern Virginia
171,Shenandoah County,Blue Ridge Legal Services
099,King George County,Legal Aid Works
027,Buchanan County,Southwest Virginia Legal Aid Society
031,Campbell County,Virginia Legal Aid Society
075,Goochland County,Central Virginia Legal Aid Society
033,Caroline County,Legal Aid Works
155,Pulaski County,Southwest Virginia Legal Aid Society
161,Roanoke County,Legal Aid Society of Roanoke Valley
149,Prince George County,Central Virginia Legal Aid Society
147,Prince Edward County,Virginia Legal Aid Society
157,Rappahannock County,Legal Aid Works
029,Buckingham County,Virginia Legal Aid Society
660,Harrisonburg City,Blue Ridge Legal Services
007,Amelia County,Virginia Legal Aid Society
097,King And Queen County,Legal Aid Works
041,Chesterfield County,Central Virginia Legal Aid Society
177,Spotsylvania County,Legal Aid Works
163,Rockbridge County,Blue Ridge Legal Services
023,Botetourt County,Legal Aid Society of Roanoke Valley
137,Orange County,Legal Aid Works
063,Floyd County,Southwest Virginia Legal Aid Society
125,Nelson County,Central Virginia Legal Aid Society
127,New Kent County,Central Virginia Legal Aid Society
103,Lancaster County,Legal Aid Works
139,Page County,Blue Ridge Legal Services
017,Bath County,Blue Ridge Legal Services
036,Charles City County,Central Virginia Legal Aid Society
159,Richmond County,Legal Aid Works
069,Frederick County,Blue Ridge Legal Services
165,Rockingham County,Blue Ridge Legal Services
179,Stafford County,Legal Aid Works
111,Lunenburg County,Virginia Legal Aid Society
840,Winchester City,Blue Ridge Legal Services
143,Pittsylvania County,Virginia Legal Aid Society
047,Culpeper County,Legal Aid Works
167,Russell County,Southwest Virginia Legal Aid Society
185,Tazewell County,Southwest Virginia Legal Aid Society
009,Amherst County,Virginia Legal Aid Society
193,Westmoreland County,Legal Aid Works
145,Powhatan County,Central Virginia Legal Aid Society
005,Alleghany County,Blue Ridge Legal Services
830,Williamsburg City,Legal Aid Society of Eastern Virginia
199,York County,Legal Aid Society of Eastern Virginia
187,Warren County,Blue Ridge Legal Services
640,Galax City,Southwest Virginia Legal Aid Society
087,Henrico County,Central Virginia Legal Aid Society
175,Southampton County,Virginia Legal Aid Society
720,Norton City,Southwest Virginia Legal Aid Society
135,Nottoway County,Virginia Legal Aid Society
790,Staunton City,Blue Ridge Legal Services
670,Hopewell City,Central Virginia Legal Aid Society
750,Radford City,Southwest Virginia Legal Aid Society
183,Sussex County,Virginia Legal Aid Society
610,Falls Church City,Legal Services of Northern Virginia
595,Emporia City,Virginia Legal Aid Society
620,Franklin City,Virginia Legal Aid Society
740,Portsmouth City,Legal Aid Society of Eastern Virginia
800,Suffolk City,Virginia Legal Aid Society
520,Bristol City,Southwest Virginia Legal Aid Society
650,Hampton City,Legal Aid Society of Eastern Virginia
710,Norfolk City,Legal Aid Society of Eastern Virginia
810,Virginia Beach City,Legal Aid Society of Eastern Virginia
013,Arlington County,Legal Services of Northern Virginia
550,Chesapeake City,Legal Aid Society of Eastern Virginia
011,Appomattox County,Virginia Legal Aid Society
173,Smyth County,Southwest Virginia Legal Aid Society
680,Lynchburg City,Virginia Legal Aid Society
025,Brunswick County,Virginia Legal Aid Society
630,Fredericksburg City,Legal Aid Works
760,Richmond City,Central Virginia Legal Aid Society
045,Craig County,Legal Aid Society of Roanoke Valley
049,Cumberland County,Virginia Legal Aid Society
540,Charlottesville City,Central Virginia Legal Aid Society
775,Salem City,Legal Aid Society of Roanoke Valley
770,Roanoke City,Legal Aid Society of Roanoke Valley
079,Greene County,Central Virginia Legal Aid Society
820,Waynesboro City,Blue Ridge Legal Services
678,Lexington City,Blue Ridge Legal Services
073,Gloucester County,Legal Aid Society of Eastern Virginia
735,Poquoson City,Legal Aid Society of Eastern Virginia
169,Scott County,Southwest Virginia Legal Aid Society
071,Giles County,Southwest Virginia Legal Aid Society
035,Carroll County,Southwest Virginia Legal Aid Society
690,Martinsville City,Virginia Legal Aid Society
700,Newport News City,Legal Aid Society of Eastern Virginia
115,Mathews County,Legal Aid Society of Eastern Virginia
089,Henry County,Virginia Legal Aid Society
077,Grayson County,Southwest Virginia Legal Aid Society
109,Louisa County,Central Virginia Legal Aid Society
091,Highland County,Blue Ridge Legal Services
530,Buena Vista City,Blue Ridge Legal Services
021,Bland County,Southwest Virginia Legal Aid Society
600,Fairfax City,Legal Services of Northern Virginia
580,Covington City,Blue Ridge Legal Services
510,Alexandria City,Legal Services of Northern Virginia
590,Danville City,Virginia Legal Aid Society
037,Charlotte County,Virginia Legal Aid Society
683,Manassas City,Legal Services of Northern Virginia
570,Colonial Heights City,Central Virginia Legal Aid Society
061,Fauquier County,Legal Aid Works
065,Fluvanna County,Central Virginia Legal Aid Society
685,Manassas Park City,Legal Services of Northern Virginia
730,Petersburg City,Central Virginia Legal Aid Society
197,Wythe County,Southwest Virginia Legal Aid Society
043,Clarke County,Blue Ridge Legal Services
