NAME,total_filed19,total_filed1819,total_pop,housing_units,rental_units,rental_pop,pct_pov,total_burdened,total_moved,total_students,n_serial,n_cases_filed_by_businesses,total_plaintiffs,n_business_plaintiffs,n_plaintiffs_serial,landarea_sqmi,court,fips,GEOID,eviction_rate19,pct_rental_units,pct_burdened,exploit,pct_moved,pct_students,pct_serial,pct_business,prop_landlord_serial,pop_density,dissim_wb,dissim_wh,cowhite,percent_white
fairfax city and county,7282,14761,1145862,413885,126973,354858,6.1,56027,101581,85783,5400,13108,1800,627,335,391.0070212291709,NA,NA,NA,0.057350775361691066,30.678328521207582,44.12512896442551,0.3198435640197245,28.625816523792615,7.486329069294557,36.582887338256214,34.833333333333336,0.18611111111111112,2930.540726347738,0.7265422517909135,0.5238442292690177,594646,51.89507986127474
harrisonburg and rockingham county,1179,2210,80284,35504,7914,18385,8.8,2927,5143,4669,380,1520,631,250,66,849.7890820425005,NA,NA,NA,0.1489764973464746,22.290446146913023,36.985089714430124,0.7164296998420221,27.97389175958662,5.815604603657017,17.194570135746606,39.61965134706815,0.1045958795562599,94.47520766804199,0.712034879627643,0.702409227061799,106430,132.56688754920035
lexington and rockbridge county,158,305,22570,11441,2290,5634,14.2,885,1217,966,36,161,142,44,16,596.5425373962142,NA,NA,NA,0.06899563318777292,20.0157328904816,38.646288209606986,0.5952380952380952,21.600993965211217,4.2800177226406735,11.80327868852459,30.985915492957744,0.11267605633802817,37.83468669059782,0.4471030832597189,0.2286117491881983,26534,117.56313690739921
newport news county and city,13960,28571,179673,77759,35675,84120,15.3,18532,18297,16698,14553,25746,1338,612,346,68.99221351634782,NA,NA,NA,0.3913104414856342,45.878933628261684,51.94674141555712,0.48045454545454547,21.751069900142653,9.293549949074151,50.936264043960655,45.73991031390135,0.2585949177877429,2604.2504051189226,0.4114007980932841,0.3743127178884564,77111,42.91741107456323
norton and wise county,285,572,38486,17958,4979,11534,22.1,1881,3086,2069,62,395,162,60,11,403.4393532541713,NA,NA,NA,0.05724040972082747,27.72580465530683,37.778670415746134,1.1107205623901582,26.755678862493497,5.37598087616276,10.839160839160838,37.03703703703704,0.06790123456790123,95.39475931033776,0.5477738200842658,0.30040449941953595,38718,100.6028166086369
williamsburg and james city county,1328,2807,14927,5263,2386,5395,20.7,1233,1988,6043,1253,2374,414,157,72,8.940315208398061,NA,NA,NA,0.5565800502933781,45.33536006080182,51.676445934618606,0.6927990708478513,36.84893419833179,40.48368727808669,44.63840399002494,37.92270531400966,0.17391304347826086,1669.6279328024543,0.5824575157555552,0.4271081679860397,66736,447.0824680109868
accomack county,187,372,32673,21273,4461,11588,19,1648,1122,1179,36,203,179,58,12,449.3103242443469,Accomack General District Court,001,51001,0.0419188522752746,20.970243971231138,36.942389598744676,0.8849840255591054,9.682430100103554,3.6084840694151135,9.67741935483871,32.402234636871505,0.0670391061452514,72.71811538038808,0.27803600899132214,0.4334519765241652,19613,60.028157806139625
albemarle county,1204,2333,107405,45520,15231,33609,9.1,6303,10954,12577,963,2087,311,132,46,720.4696535092188,Albemarle General District Court,003,51003,0.07904930733372727,33.46001757469244,41.38270632263147,0.47624392068836513,32.592460352881666,11.70988315255342,41.277325332190316,42.443729903536976,0.14790996784565916,149.07636911125735,0.3530133848272743,0.351223040225794,82656,76.95731111214562
alexandria city,4210,8449,157613,76357,40045,91100,10.3,16424,25687,10260,3304,7649,432,264,118,14.934193326988645,Alexandria General District Court,510,51510,0.10513172680734174,52.44443862383279,41.013859408165814,0.30382608695652175,28.19648737650933,6.509615323609093,39.105219552609775,61.111111111111114,0.27314814814814814,10553.834180997665,0.42902155737855785,0.435276410877609,81852,51.932264470570324
alleghany county,200,421,15157,8027,1568,3536,19.7,606,830,512,86,241,127,31,12,446.5691630011736,Alleghany General District Court,005,51005,0.12755102040816327,19.53407250529463,38.64795918367347,0.7848557692307693,23.472850678733032,3.3779771722636402,20.42755344418052,24.409448818897637,0.09448818897637795,33.94099112920649,0.2897731268928643,0.44077135781095966,13863,91.46269050603681
