county_collapsed,dissim_wb,dissim_wh,cowhite
Accomack County,0.3267344326784466,0.47593612862605444,19423
Albemarle County,0.37749973527469755,0.4194033312223696,84141
Alexandria city,0.43589229341293084,0.4294981521383597,77751
Alleghany County,0.3747999482780184,0.4334054897372142,13674
Amelia County,0.1880437219180946,0.20799689617443756,9778
Amherst County,0.30504989701624685,0.2011383637292428,23205
Appomattox County,0.05964375521948466,0.32940792265892976,12498
Arlington County,0.49375423062395035,0.32947177580802045,138514
Augusta County,0.5072692836972419,0.44056221715956545,68690
Bath County,0.03325008857357656,0.41157386251223405,3733
Bedford County,0.31706214180023656,0.29486252274127284,68692
Bland County,0.32748942714340634,0.3830449826989619,5780
Botetourt County,0.30497822766711075,0.2687497275979707,30773
Bristol city,0.42905816889771564,0.21802641975516504,14524
Brunswick County,0.2745630385019569,0.3733534458670729,6498
Buchanan County,0.5595483580746738,0.5508744137571652,19000
Buckingham County,0.27680195698112264,0.32954621363497594,10279
Buena Vista city,0.14606989288028344,0.3396443928340023,5659
Campbell County,0.2090927126798392,0.4298560481620656,42795
Caroline County,0.23146272269193613,0.19287926163731367,19405
Carroll County,0.5544246770352133,0.44702919230898086,27309
Charles City County,0.213395375578503,0.2019953730480046,2964
Charlotte County,0.09759133538788996,0.5683605122585451,7844
Charlottesville city,0.4234728012563009,0.313435532752685,29533
Chesapeake city,0.4322381467072745,0.3083684112094433,136706
Chesterfield County,0.3935047462230406,0.46657157542491173,213334
Clarke County,0.2593279043486512,0.1358468510640981,12532
Colonial Heights city,0.32520775143405356,0.35656142047028627,12198
Covington city,0.4101348186594088,0.3217285353778583,4514
Craig County,0,0,4648
Culpeper County,0.3652226049104272,0.33038492527783103,35089
Cumberland County,0.09101870138492696,0.4918203688853248,6235
Danville city,0.2855627211347439,0.31479219902332484,16644
Dickenson County,0.21233248728313436,0.2786027792764549,13580
Dinwiddie County,0.21014078111758824,0.43087392686501824,17511
Emporia city,0.5229090212459284,0.20043127429275234,1102
Essex County,0.35815573444944476,0.18165859000268064,5705
Fairfax City and County,0.861164923698159,0.5178960658779336,556692
Falls Church city,0.2261425195967434,0.06042043827177172,9996
Fauquier County,0.28470080669866227,0.3394618936664275,55960
Floyd County,0.5448761490739483,0.5085705149837864,14382
Fluvanna County,0.2374926984322326,0.29721899193212403,20953
Franklin County,0.4513681672361757,0.3461249249218684,47191
Franklin city,0.7334593351648719,0.06303568005695662,3102
